MODELO,PLACA,SERVICIO / Descripción,FECHA,COSTO,
Honda Civic plateado,GDJ37P,Limpieza y montura de tanque,2025-12-09,80,
Honda Fit,AA91G30,Limpieza y reparación,2025-12-09,90,
Hyundai Atos rojo,AA13E70,Limpieza,24-09-25,40,
Hyundai Atos,AA01G50,Limpieza y cambio de tanque,16-09-25,60,
Hyundai Sonata,AA92G10,Limpieza y reparación,2025-03-09,70,
Hyundai Spark azul celeste,DCU22S,Limpieza y reparación,26-09-25,50,
Jeep 4x4 rojo,AB553SS,Reparación,16-09-25,30,
Jeep Cheroke,AH597AG,Reparación abrazadera,18-09-25,40,
Jeep Cheroke,AA940M0,Garantía,2025-01-09,—,
Jeep gris,AJ075UA,Limpieza,2025-05-09,40,
Jeep plateado,DBW49J,Limpieza,24-09-25,60,
Jeep plateada,AB284WV,Reparación,18-09-25,60,
Jeep roja 4x4,AB553SS,Limpieza y reparación,2025-11-09,80,
Kia Cerato Beigh,AH451AG,Cambio de manguera y anticorrosivo,24-09-25,50,
Mazda plateado,GDH91U,Montura de radiador nuevo,2025-05-09,150,
Mercedes SL500,AB833SI,Limpieza y lavado,23-09-25,70,
Mitsubishi Lancer 2012,AB664VF,Limpieza y montura de tanque,16-09-25,60,
Mitsubishi Montero Sport,AA71G90,Limpieza y montura de tanque,2025-10-09,80,
Mitsubishi Montero Sport azul,700730,Reparación,30-09-25,80,
Neon Chrysler Beigh,AA315XN,Limpieza y lavado,25-09-25,60,
Neon Chrysler gris,DAL31V,Limpieza y reparación,29-09-25,60,
Neon Chrysler,OAF85A,Limpieza y reparación,2025-11-09,60,
Nissan B13 plateado,12572,Limpieza y cambio de tanque,16-09-25,60,
Nissan Sentra 16 Beigh,AA009NA,Limpieza y reparación,23-09-25,60,
Nissan Sentra,AA62H70,Limpieza,30-09-25,40,
Nissan Z negro,AB373D0,Limpieza y reparación,18-09-25,40,
Renault negro,AA419E0,Limpieza y reparación,17-09-25,50,
Toyota Camry Beigh 98,KBD57G,Reparación,26-09-25,60,
Toyota Corolla,AA2490N,—,2025-04-09,—,
Toyota Meru blanca,0AK07S,Limpieza y reparación,2025-10-09,60,
Toyota Meru Prado verde,AA180BN,Limpieza y lavado,22-09-25,50,
Toyota Terios gris,10410,"Limpieza, reparación, cambio de tq",2025-01-09,70,
Toyota XL1 gris,OXAA42V,Limpieza y lavado,2025-10-09,40,
Toyota Yaris,AG818DV,Limpieza y reparación,2025-03-09,60,
Toyota Yaris 2006,AD892TG,Limpieza y cambio de toma de agua,17-09-25,50,
Toyota Yaris 2010 negro,AA73D70,Reparación y cambio de tanque,18-09-25,110,
,,,,,
,,,,,
,,,,,
Ford Explorer,AD983PA,Reparación,1-Oct,60,
Toyota Terios roja,VBP54N,Cambio de tapa,2-Oct,50,
Jeep Cheroke V8 gris,MDB35U,Montura de tanque,2-Oct,110,
Toyota Terios azul oscuro,0A085G,—,2-Oct,50,
Toyota Corolla plateado,FBD11K,"Limpieza y reparación, cambio de tq",3-Oct,60,
Chery X1 rojo,AK795IA,Limpieza y lavado de bloque,6-Oct,70,
Jeep 4x4 gris,MDE35U,Limpieza y reparación,6-Oct,60,
Nissan B15 verde,YMD728,Limpieza y reparación,6-Oct,70,
Jeep Limited 4x4 plateada,AA1440L,"Limpieza, reparación y cambio de tq",7-Oct,70,
Ford Explorer negra,AH504AG,"Limpieza, cambio de tq y reparación",8-Oct,50,
Toyota Corolla,AA225NF,"Limpieza, cambio de tq y reparación",8-Oct,80,
Mitsubishi L300,A34CY0A,Limpieza y montura de tanque,9-Oct,70,
Mitsubishi plateada,AG753ZG,Limpieza y reparación,10-Oct,60,
Nissan Pathfinder negra,AA070DU,Limpieza y reparación,10-Oct,60,
Jeep Liberty beigh,AD867SA,Limpieza y reparación,10-Oct,60,
Toyota Avalon plateada,AA41F20,Limpieza y cambio de tanque,10-Oct,80,
Fiat Palio plateado,ME097K,Lavado y limpieza,13-Oct,40,
